reviewId,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,version
2878dd73-4c10-4c51-a056-11241eb32300,Daniel Sidauruk,Bagus orang ya ramah,5,0,2024-11-04T18:18:26,,,4.96.2
cc61be4d-1686-42a1-bbbb-a91a23d3139e,LISA INGGRIYANI,Seneng pake go jek..walo kadang mahal tp kadang bnyk promo nya juga 😍,5,0,2024-11-04T18:18:09,,,4.99.1
80cdf9bd-74f4-40da-a7ea-74010b44c3bf,Nahel Ganteng,"ajg susah bgt dapet goride nya babi anjgg, pdhal rute deket, cuaca bagus baaabbbyiik",1,0,2024-11-04T18:12:51,"Mohon maaf atas kendalanya, Kak Nahel. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-04T19:13:01,4.99.1
b54739da-88ce-4942-b770-d920685998d7,Eddy Suprapto,Oom ramah baik,5,0,2024-11-04T18:10:20,,,4.99.1
cc668a97-0413-4015-89e6-d2d139fef106,Dyky Prayogo,Gojek Mantabbb deh pokoknya...ojek online no.1 Ojek online babat alas...yang berdarah darahh..skarang ojekk online baru..udeh tinggal enaknya.... Driver gojek berjuang benerrr...,5,0,2024-11-04T18:04:24,,,4.99.1
fdeb622b-f930-44ff-b2f4-b0df783a7f1f,Keisha Ufairah.t,baik,5,0,2024-11-04T18:02:33,,,5.0.1
dd042d2e-6fd0-40f5-b125-8a99ab7efb1a,Agung Sulistian,Oke lah.,5,0,2024-11-04T17:57:41,,,4.99.1
328bd88f-09ed-4b86-9785-dd77877a49b1,Bayu Wijaya,aplikasi ini bagus mempermudah perjalanan,5,0,2024-11-04T17:56:54,,,4.99.1
fcb08c2f-e77a-4ccb-8583-f41c53138e3e,Josef Nababan,lebih murah dari grab,5,0,2024-11-04T17:48:30,,,4.99.1
a627c03b-0959-48f3-88a2-9f84fc5e1105,rina hardiani,"Br pesen, set, da sampe abangnya. Trmkasih",5,0,2024-11-04T17:47:22,,,4.99.1
b3870a2d-5008-454d-bf18-744946ed7039,Erwin Tito,Terima kasih,5,0,2024-11-04T17:44:37,,,4.96.2
7819ca9f-375d-43aa-92d2-ef71773646a9,Bobby Karel Mamahit,"Pelayanan nya cukup responsif, simpel dan kurir yg ramah.",5,4,2024-11-04T17:32:10,,,4.99.1
1284da9e-40e4-4b8c-ae54-460ce64a4bb4,Ajeng,"jelek, abis ujan susah dapet",1,0,2024-11-04T17:29:56,"Mohon maaf atas kendalanya, Kak Ajeng. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-04T18:38:22,4.93.1
ed1352a8-7135-45cb-b031-e77705951dc4,M. ADNAN,"Sudah dapetin driver buat berangkat sekolah, sering telat gegara nunggu driver,susah dapat driver di saat lagi buru buru atau ada urusan urgent,tolong di upgrade lagi ,kalau kayak gimana mau pake gojek karna dapat driver aja susah banget kalau lagi buru buru",1,1,2024-11-04T17:28:04,"Hai M. Adnan, mohon maaf atas kendalanya. Kesulitan untuk mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau karena tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali. Silakan laporkan melalui menu Bantuan jika kamu memiliki pertanyaan atau kendala lain ya. ^Meta",2022-01-22T09:53:02,4.99.1
78d5201d-a602-42fd-8873-a5324c36e2fe,Eka awaludin,"Maaf kak kalo mau masuk akun harus masukin pin yah,itu lupa pin nya gmna ya kak",5,0,2024-11-04T17:26:00,,,4.99.1
2b3bbf02-e238-450c-9d97-efcfc3aaff8c,1A ZAHRA PUTRI UTAMI,Sangat membantu,5,0,2024-11-04T17:19:59,,,5.0.0
0e55aaed-5cce-4493-b309-d1c461a40f14,Noah Siahaan,"Susah cari driver, padahal hujan reda sudah lama, hari biasa lagi, kacau emang",1,0,2024-11-04T17:18:05,"Mohon maaf atas kendalanya, Kak Noah. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Miko",2024-11-04T18:35:55,4.93.1
b881c8c7-0e89-4f08-a755-36195843da5b,dkli sg,Mantap,5,0,2024-11-04T17:16:45,,,4.99.1
696ba57c-6abe-4999-94ca-65dca2a7a569,Honey 650,"parah banget pukul 21.00 malam minggu kemarin tanggal 2 saya pesan gocar dicancel terus menerus, sampe 12x pdahal pilihannya pakai gocar prioritas. kenapa mesti diambil sama drivernya dan driver seenaknya cancel.? tolong perbaiki sikap dan attitude nya para driver gocar",1,0,2024-11-04T17:09:20,"Hai Kak @Honey 650, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Kemudian terkait keluhannya, silakan laporkan melalui menu Bantuan di aplikasi Gojek dengan mengetik ""Driver membatalkan pesanan saya"" pada kolom pencarian ya. ^Miko",2024-11-04T18:33:51,4.99.1
a3507ed6-d23a-4b0b-80da-daf0d25aace4,sea land,Semogaa ttp yg terdepan..,5,0,2024-11-04T17:06:30,,,4.99.1
4c2117bf-4133-451e-94c0-35593a232a50,hendrik setiyawan,Terimakasih gojek is the best,5,0,2024-11-04T16:52:10,,,5.0.1
4c43a679-584f-4062-bb59-ab56dedca62a,SITI NURUL HASANAH,Tepat waktu pengirimannya dan bagus pelayanannya,5,1,2024-11-04T16:48:27,,,4.99.1
