reviewId,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,version
ea72528f-c27a-46a8-a3df-bb4c2d641f1a,nazzar 609,Semoga semakin baik dan terus menjadi yang terbaik,5,0,2024-11-02T22:58:17,,,4.99.1
ef34572e-035a-4c26-b167-d936b494ca22,NexsusJr,aplikasi ga berguna ada driver terdekat malah dikasih yang jauh gmn ceritanya ga berguna,1,1,2024-11-02T22:56:55,"Hai Kak @NexsusJr, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maya",2024-11-03T00:23:43,4.99.1
953c46af-7ad8-4762-a165-0c8f968810fb,Usnia Nia,Sangat membantu,5,0,2024-11-02T22:52:46,,,
2d82f037-4419-40c7-bab0-8c18616ca322,Septian Dwi Lesmana,"Sejak kapan pesen makanan digabung sama orderan lain?BTW Saya pesan mode REGULER bukan HEMAT Jadi lebih lama saya nunggu makanan nya,pantesan rugi mulu perusahaan,di sumpahin driver, merchant sampe customer nya,..",1,2,2024-11-02T22:52:10,"Mohon maaf, Kak Septian. Kami infokan dengan menggunakan fitur mode hemat memungkinkan pesananmu digabung bersama pesanan pengguna lain yang berdekatan secara lokasi. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maya",2024-11-02T22:12:13,4.99.1
b49a9b73-0f65-4ec4-8f3f-25c129c84e67,Mulyana Saputra,"Tolong di permudah ganti no hpnya dong min,punya akun saya susah buat ganti no hp,soalnya buat pengambilannuang di norek ponsel yg lama,.tolong dibantu min",5,0,2024-11-02T22:35:15,,,4.99.1
9c641a1c-ff97-45d1-90dd-4da0276b62e4,Kyurave,"apk ampas map berubah mulu, kalo udah satu ya satu gblg",1,0,2024-11-02T22:29:16,,,4.99.1
6f959779-e907-42da-8989-5ded8b42f077,De Rian,"Apk najis, bangkrut aj",1,1,2024-11-02T22:22:42,,,
2d053570-27ec-41ce-9651-065e57b4c083,Bekti Wulandari,Mempermudah dikala malam kelaparan,5,0,2024-11-02T22:02:52,,,4.99.1
4978b0ba-e369-4f85-b06a-993541950f56,Arkhan adyatma hamizan,"Layanan jelek, gak bagus...",1,2,2024-11-02T21:56:52,"Hai Kak Arkhan, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maya",2024-11-03T00:17:44,
3af0b07e-8821-42cd-b246-4c1ed3b7d328,Bima14,"Mohon untuk driver Gojek maupun Gocar yg gk bs nganter dgn alesan kejauhan, atw rugi d bensin tlong gk usah d ambil orderan ny. Saran : klo bs utk driver yg chat nya minta d batalkan tlong konsumen d berikan penilaian utk driver yg ingin d batalkan",1,1,2024-11-02T21:53:23,"Hai Kak Bima, mohon maaf atas ketidaknyamanannya. Laporan yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maya",2024-11-03T00:16:41,4.99.1
